,Unnamed: 0,station,channel,start,stop,confidence,Notes
306,306,ILL17,EHZ,2021-07-13 03:01:00+00:00,2021-07-13 07:39:00+00:00,med,
307,307,ILL18,EHZ,2021-07-13 04:35:00+00:00,2021-07-13 07:32:00+00:00,high,
308,308,ILL11,HHZ,2021-07-13 16:19:00+00:00,2021-07-13 18:34:00+00:00,high,
309,309,ILL12,EHZ,2021-07-13 16:01:00+00:00,2021-07-13 18:02:00+00:00,high,
310,310,ILL13,EHZ,2021-07-13 16:10:00+00:00,2021-07-13 18:07:00+00:00,high,
311,311,ILL14,EHZ,2021-07-13 14:55:00+00:00,2021-07-13 17:21:00+00:00,low,
312,312,ILL15,EHZ,2021-07-13 14:55:00+00:00,2021-07-13 17:21:00+00:00,low,
313,313,ILL16,EHZ,2021-07-13 14:55:00+00:00,2021-07-13 17:21:00+00:00,high,
314,314,ILL17,EHZ,2021-07-13 14:55:00+00:00,2021-07-13 17:22:00+00:00,high,
315,315,ILL18,EHZ,2021-07-13 14:57:00+00:00,2021-07-13 17:28:00+00:00,high,
316,316,ILL14,EHZ,2021-07-14T04:26:17+00:00,2021-07-14T04:55:27+00:00,low,Probably a rockfall in the upper catchment. Very clear signal.
317,317,ILL14,EHZ,2021-07-14T05:02:57+00:00,2021-07-14T05:06:17+00:00,low,Probably a rockfall in the upper catchment.
318,318,ILL14,EHZ,2021-07-14T08:17:07+00:00,2021-07-14T08:22:07+00:00,low,Probably a rockfall in the upper catchment.
319,319,ILL14,EHZ,2021-07-14T08:36:17+00:00,2021-07-14T08:39:37+00:00,low,Probably a rockfall in the upper catchment.
320,320,ILL14,EHZ,2021-07-14T08:45:27+00:00,2021-07-14T08:49:37+00:00,low,Probably a rockfall in the upper catchment.
321,321,ILL14,EHZ,2021-07-14T09:14:37+00:00,2021-07-14T09:22:57+00:00,low,Probably a rockfall in the upper catchment.
322,322,ILL14,EHZ,2021-07-14T20:07:07+00:00,2021-07-14T20:19:37+00:00,low,Probably a rockfall in the upper catchment.
323,323,ILL16,EHZ,2021-07-14T20:12:29+00:00,2021-07-14T20:18:19+00:00,low,Probably a rockfall in the upper catchment. Very clear signal.
324,324,ILL11,HHZ,2021-07-16 03:58:00+00:00,2021-07-16 05:03:00+00:00,high,
325,325,ILL12,EHZ,2021-07-16 03:43:00+00:00,2021-07-16 04:54:00+00:00,high,
326,326,ILL13,EHZ,2021-07-16 03:53:00+00:00,2021-07-16 05:00:00+00:00,high,
327,327,ILL14,EHZ,2021-07-16 03:42:00+00:00,2021-07-16 04:47:00+00:00,high,
328,328,ILL14,EHZ,2021-07-16 03:42:00+00:00,2021-07-16 04:47:00+00:00,high,
329,329,ILL16,EHZ,2021-07-16 03:36:00+00:00,2021-07-16 04:43:00+00:00,high,
330,330,ILL17,EHZ,2021-07-16 03:36:00+00:00,2021-07-16 04:41:00+00:00,high,
331,331,ILL18,EHZ,2021-07-16 03:36:00+00:00,2021-07-16 04:41:00+00:00,high,
332,332,ILL18,EHZ,2021-07-28 06:00:25+00:00,2021-07-28 07:33:55+00:00,low,"Could be upper catchment slope activity, but rather weak."
333,333,ILL14,EHZ,2021-07-28 06:40:01+00:00,2021-07-28 07:15:01+00:00,low,"Could be upper catchment slope activity, but rather weak."
334,334,ILL18,EHZ,2021-07-31 21:08:09+00:00,2021-07-31T22:21:59+00:00,low,Could be a small debris flow or upper catchment activity that did not make it to the Rhone valley.
335,335,ILL18,EHZ,2021-07-31 23:04:34+00:00,2021-07-31T23:39:34+00:00,low,Could be a small debris flow or upper catchment activity that did not make it to the Rhone valley.
336,336,ILL14,EHZ,2021-08-01T07:36:41+00:00,2021-08-01T07:43:21+00:00,low,Perhaps rockfall in upper catchment.
337,337,ILL17,EHZ,2021-08-03T08:59:08+00:00,2021-08-03T09:05:48+00:00,low,Perhaps rockfall in upper catchment.
338,338,ILL14,EHZ,2021-08-04T14:23:21+00:00,2021-08-04T14:26:41+00:00,low,Perhaps rockfall in upper catchment.
339,339,ILL11,HHZ,2021-08-07 14:32:00+00:00,2021-08-07 15:53:00+00:00,high,
340,340,ILL13,EHZ,2021-08-07 14:23:00+00:00,2021-08-07 15:33:00+00:00,high,
341,341,ILL14,EHZ,2021-08-07 14:12:00+00:00,2021-08-07 15:26:00+00:00,high,
342,342,ILL15,EHZ,2021-08-07 14:15:00+00:00,2021-08-07 15:26:00+00:00,high,
343,343,ILL16,EHZ,2021-08-07 14:10:00+00:00,2021-08-07 15:26:00+00:00,high,
344,344,ILL17,EHZ,2021-08-07 14:10:00+00:00,2021-08-07 15:15:00+00:00,high,
345,345,ILL18,EHZ,2021-08-07 14:13:00+00:00,2021-08-07 15:14:00+00:00,high,
346,346,ILL18,EHZ,2021-08-12 21:53:12+00:00,2021-08-12 22:07:22+00:00,low,Perhaps some activity in upper catchment. But small.
347,347,ILL18,EHZ,2021-08-15 23:53:27+00:00,2021-08-16 00:37:21+00:00,low,"Probably activity in upper catchment, perhaps even a debris flow that did not make it to the Rhone valley."
348,348,ILL18,EHZ,2021-09-10T17:52:11+00:00,2021-09-10 18:40:31+00:00,low,Activity in upper catchment.
