,station,start,stop,confidence
286,ILL17,2021-07-13 03:01:00+00:00,2021-07-13 07:39:00+00:00,0.5
287,ILL17,2021-07-13 14:39:00+00:00,2021-07-13 17:22:00+00:00,1
288,ILL17,2021-07-16 03:36:00+00:00,2021-07-16 04:41:00+00:00,1
289,ILL17,2021-08-07 14:10:00+00:00,2021-08-07 15:15:00+00:00,1
290,ILL17,2021-09-19 05:47:00+00:00,2021-09-19 07:20:00+00:00,1
291,ILL18,2018-06-12 17:20:00+00:00,2018-06-12 20:03:00+00:00,1
292,ILL18,2018-07-25 16:48:00+00:00,2018-07-25 17:29:00+00:00,1
293,ILL18,2018-08-08 17:43:00+00:00,2018-08-08 17:59:00+00:00,1
294,ILL18,2019-06-10 17:14:00+00:00,2019-06-10 18:34:00+00:00,0.5
295,ILL18,2019-06-10 21:42:00+00:00,2019-06-10 22:58:00+00:00,0.5
296,ILL18,2019-06-21 19:28:00+00:00,2019-06-21 20:18:00+00:00,1
297,ILL18,2019-06-21 21:05:00+00:00,2019-06-21 21:05:00+00:00,rockfall
298,ILL18,2019-07-01 17:33:00+00:00,2019-07-01 17:33:00+00:00,earthquake
299,ILL18,2019-07-01 22:53:00+00:00,2019-07-01 23:59:00+00:00,1
300,ILL18,2019-07-02 03:52:00+00:00,2019-07-02 03:52:00+00:00,earthquake
301,ILL18,2019-07-02 09:37:00+00:00,2019-07-02 09:38:00+00:00,earthquake
302,ILL18,2019-07-02 22:00:00+00:00,2019-07-02 22:33:00+00:00,1
303,ILL18,2019-07-02 23:14:00+00:00,2019-07-02 23:14:00+00:00,earthquake
304,ILL18,2019-07-15 03:29:00+00:00,2019-07-15 03:58:00+00:00,1
305,ILL18,2019-07-26 17:25:00+00:00,2019-07-26 18:10:00+00:00,1
306,ILL18,2019-08-11 16:47:00+00:00,2019-08-11 17:28:00+00:00,1
307,ILL18,2019-08-20 16:33:00+00:00,2019-08-20 17:23:00+00:00,1
308,ILL18,2020-04-28 16:35:00+00:00,2020-04-28 19:22:00+00:00,0.5
309,ILL18,2020-05-10 02:01:00+00:00,2020-05-10 05:16:00+00:00,1
310,ILL18,2020-06-04 15:02:00+00:00,2020-06-04 17:04:00+00:00,1
311,ILL18,2020-06-08 16:33:00+00:00,2020-06-08 17:33:00+00:00,1
312,ILL18,2020-06-17 02:59:00+00:00,2020-06-17 06:16:00+00:00,0.1
313,ILL18,2020-06-29 04:30:00+00:00,2020-06-29 05:28:00+00:00,1
314,ILL18,2020-08-16 21:07:00+00:00,2020-08-16 21:52:00+00:00,1
315,ILL18,2020-08-30 04:48:00+00:00,2020-08-30 07:00:00+00:00,0.5
316,ILL18,2020-08-30 07:25:00+00:00,2020-08-30 08:37:00+00:00,1
317,ILL18,2021-05-11 13:52:00+00:00,2021-05-11 16:58:00+00:00,1
