,station,channel,start,stop,confidence,Notes
201,ILL15,EHZ,2020-08-16 21:06:00+00:00,2020-08-16 21:49:00+00:00,high,
202,ILL16,EHZ,2020-08-16 21:05:00+00:00,2020-08-16 21:36:00+00:00,high,
203,ILL17,EHZ,2020-08-16 21:09:00+00:00,2020-08-16 21:48:00+00:00,high,
204,ILL18,EHZ,2020-08-16 21:07:00+00:00,2020-08-16 21:52:00+00:00,high,
205,ILL11,HHZ,2020-08-30 05:44:00+00:00,2020-08-30 07:23:00+00:00,high,
206,ILL12,EHZ,2020-08-30 05:18:00+00:00,2020-08-30 07:07:00+00:00,high,
207,ILL13,EHZ,2020-08-30 05:30:00+00:00,2020-08-30 07:25:00+00:00,high,
208,ILL14,EHZ,2020-08-30 05:18:00+00:00,2020-08-30 06:50:00+00:00,low,
209,ILL15,EHZ,2020-08-30 04:49:00+00:00,2020-08-30 07:02:00+00:00,low,
210,ILL16,EHZ,2020-08-30 04:56:00+00:00,2020-08-30 06:56:00+00:00,low,
211,ILL17,EHZ,2020-08-30 04:46:00+00:00,2020-08-30 06:49:00+00:00,med,
212,ILL18,EHZ,2020-08-30 04:48:00+00:00,2020-08-30 07:00:00+00:00,med,
213,ILL11,HHZ,2020-08-30 08:00:00+00:00,2020-08-30 08:52:00+00:00,high,
214,ILL12,EHZ,2020-08-30 07:48:00+00:00,2020-08-30 08:39:00+00:00,high,
215,ILL13,EHZ,2020-08-30 07:53:00+00:00,2020-08-30 09:01:00+00:00,high,
216,ILL14,EHZ,2020-08-30 07:35:00+00:00,2020-08-30 08:59:00+00:00,high,
217,ILL15,EHZ,2020-08-30 07:29:00+00:00,2020-08-30 09:05:00+00:00,high,
218,ILL16,EHZ,2020-08-30 07:26:00+00:00,2020-08-30 08:48:00+00:00,high,
219,ILL17,EHZ,2020-08-30 07:02:00+00:00,2020-08-30 10:00:00+00:00,high,
220,ILL18,EHZ,2020-08-30 07:25:00+00:00,2020-08-30 08:37:00+00:00,high,
221,ILL17,EHZ,2020-08-30 10:06:34+07:00,2020-08-30 10:21:34+07:00,low,"This is torrential activity associated with the previous debris flow."
222,ILL16,EHZ,2020-09-01 00:00:02+00:00,2020-09-01 00:16:42+00:00,low,"slope activity"
223,ILL11,HHZ,2021-05-11 04:02:00+00:00,2021-05-11 14:07:00+00:00,med,
224,ILL11,HHZ,2021-05-11 14:09:00+00:00,2021-05-11 16:40:00+00:00,high,
225,ILL13,EHZ,2021-05-11 03:25:00+00:00,2021-05-11 13:52:00+00:00,med,
226,ILL13,EHZ,2021-05-11 14:09:00+00:00,2021-05-11 16:38:00+00:00,high,
227,ILL18,EHZ,2021-05-11 13:52:00+00:00,2021-05-11 16:58:00+00:00,high,
228,ILL11,HHZ,2021-05-12 03:58:00+00:00,2021-05-12 09:38:00+00:00,low,
229,ILL13,EHZ,2021-05-12 02:59:00+00:00,2021-05-12 09:34:00+00:00,low,
230,ILL11,HHZ,2021-05-16 16:21:00+00:00,2021-05-16 20:30:00+00:00,high,
231,ILL13,EHZ,2021-05-16 16:15:00+00:00,2021-05-16 20:10:00+00:00,high,
232,ILL18,EHZ,2021-05-16 15:46:00+00:00,2021-05-16 20:36:00+00:00,high,
233,ILL11,HHZ,2021-05-21 23:11:00+00:00,2021-05-22 00:25:00+00:00,high,
234,ILL13,EHZ,2021-05-21 22:49:00+00:00,2021-05-22 00:28:00+00:00,high,
235,ILL14,EHZ,2021-05-21 22:40:00+00:00,2021-05-22 00:38:00+00:00,high,
236,ILL17,EHZ,2021-05-21 22:40:00+00:00,2021-05-22 00:38:00+00:00,high,
237,ILL18,EHZ,2021-05-21 22:43:00+00:00,2021-05-22 00:20:00+00:00,high,
238,ILL14,EHZ,2021-05-23 00:07:57+00:00,2021-05-23 00:12:57+00:00,low,"Likely strong activity in the upper catchment, although no debris flow made it to the Rhone Vally.	"
239,ILL14,EHZ,2021-05-23 00:17:57+00:00,2021-05-23 00:21:17+00:00,low,"Likely strong activity in the upper catchment, although no debris flow made it to the Rhone Vally."
240,ILL14,EHZ,2021-05-23 01:04:37+00:00,2021-05-23 01:11:17+00:00,low,"Likely strong activity in the upper catchment, although no debris flow made it to the Rhone Vally."
241,ILL18,EHZ,2021-05-28 09:09:39+00:00,2021-05-28 10:01:18+00:00,low,"Possibly activity in the upper catchment, no debris flow made it to the Rhone Vally."
242,ILL18,EHZ,2021-06-02 06:54:49+00:00,2021-06-02 07:35:36+00:00,low,"Likely activity in the upper catchment, no debris flow made it to the Rhone Vally."
243,ILL17,EHZ,2021-06-04 22:19:08+00:00,2021-06-04 23:01:38+00:00,low,"Likely activity in the upper catchment, no debris flow made it to the Rhone Vally."
244,ILL18,EHZ,2021-06-04 22:41:50+00:00,2021-06-04 23:05:10+00:00,low,"Likely activity in the upper catchment, no debris flow made it to the Rhone Vally."
245,ILL11,HHZ,2021-06-05 09:39:00+00:00,2021-06-05 11:52:00+00:00,high,
246,ILL13,EHZ,2021-06-05 09:32:00+00:00,2021-06-05 11:48:00+00:00,high,
247,ILL14,EHZ,2021-06-05 07:37:00+00:00,2021-06-05 10:17:00+00:00,high,
248,ILL17,EHZ,2021-06-05 08:17:00+00:00,2021-06-05 10:45:00+00:00,high,
249,ILL18,EHZ,2021-06-05 08:15:00+00:00,2021-06-05 11:22:00+00:00,high,
250,ILL17,EHZ,2021-06-08 15:53:18+00:00,2021-06-08 16:02:28+00:00,low,"Possibly activity in the upper catchment, no debris flow made it to the Rhone Vally."
251,ILL16,EHZ,2021-06-22 16:06:51+00:00,2021-06-22 16:15:11+00:00,low,"Likely activity in the upper catchment, but debris flow made it to the Rhone Vally only hours later."
252,ILL17,EHZ,2021-06-22 16:08:18+00:00,2021-06-22 16:19:58+00:00,low,"Likely activity in the upper catchment, but debris flow made it to the Rhone Vally only hours later."
253,ILL11,HHZ,2021-06-22 20:07:21+00:00,2021-06-22 21:39:51+00:00,"1.""Not in WSL Observatory.""",
