,station,channel,start,stop,confidence,Notes
209,ILL12,EHZ,2020-08-16T21:29:00.000000Z,2020-08-16T22:32:00.000000Z,high,
210,ILL13,EHZ,2020-08-16T21:37:00.000000Z,2020-08-16T23:10:00.000000Z,high,
211,ILL11,HHZ,2020-08-16T22:02:00.000000Z,2020-08-16T23:56:00.000000Z,high,
212,ILL17,EHZ,2020-08-30T03:06:34.000000Z,2020-08-30T03:21:34.000000Z,low,This is torrential activity associated with the previous debris flow.
213,ILL17,EHZ,2020-08-30T04:46:00.000000Z,2020-08-30T06:49:00.000000Z,med,
214,ILL18,EHZ,2020-08-30T04:48:00.000000Z,2020-08-30T07:00:00.000000Z,med,
215,ILL15,EHZ,2020-08-30T04:49:00.000000Z,2020-08-30T07:02:00.000000Z,low,
216,ILL16,EHZ,2020-08-30T04:56:00.000000Z,2020-08-30T06:56:00.000000Z,low,
217,ILL12,EHZ,2020-08-30T05:18:00.000000Z,2020-08-30T07:07:00.000000Z,high,
218,ILL14,EHZ,2020-08-30T05:18:00.000000Z,2020-08-30T06:50:00.000000Z,low,
219,ILL13,EHZ,2020-08-30T05:30:00.000000Z,2020-08-30T07:25:00.000000Z,high,
220,ILL11,HHZ,2020-08-30T05:44:00.000000Z,2020-08-30T07:23:00.000000Z,high,
221,ILL17,EHZ,2020-08-30T07:02:00.000000Z,2020-08-30T10:00:00.000000Z,high,
222,ILL18,EHZ,2020-08-30T07:25:00.000000Z,2020-08-30T08:37:00.000000Z,high,
223,ILL16,EHZ,2020-08-30T07:26:00.000000Z,2020-08-30T08:48:00.000000Z,high,
224,ILL15,EHZ,2020-08-30T07:29:00.000000Z,2020-08-30T09:05:00.000000Z,high,
225,ILL14,EHZ,2020-08-30T07:35:00.000000Z,2020-08-30T08:59:00.000000Z,high,
226,ILL12,EHZ,2020-08-30T07:48:00.000000Z,2020-08-30T08:39:00.000000Z,high,
